date,precio_btc,usd_invertido,equity_usd
2022-05-29,29445.95703125,44000.0,29784.009304596875
2022-05-30,31726.390625,44000.0,32090.623258515356
2022-05-31,31792.310546875,44000.0,32157.299969494718
2022-06-01,29799.080078125,46000.0,32013.906638701246
2022-06-02,30467.48828125,46000.0,32731.99450434291
2022-06-03,29704.390625,46000.0,31912.17936040722
2022-06-04,29832.9140625,46000.0,32050.255345243757
2022-06-05,29906.662109375,46000.0,32129.484740287262
2022-06-06,31370.671875,46000.0,33702.307519782094
2022-06-07,31155.478515625,46000.0,33471.119842235064
2022-06-08,30214.35546875,46000.0,32460.047511169934
2022-06-09,30111.998046875,46000.0,32350.08233979238
2022-06-10,29083.8046875,46000.0,31245.46816622508
2022-06-11,28360.810546875,46000.0,30468.737245082055
2022-06-12,26762.6484375,46000.0,28751.791204167213
2022-06-13,22487.388671875,46000.0,24158.77133126896
2022-06-14,22206.79296875,46000.0,23857.3202589703
2022-06-15,22572.83984375,48000.0,26282.42851973951
2022-06-16,20381.650390625,48000.0,23731.14208109894
2022-06-17,20471.482421875,48000.0,23835.73698171641
2022-06-18,19017.642578125,48000.0,22142.975147715784
2022-06-19,20553.271484375,48000.0,23930.96714343875
2022-06-20,20599.537109375,48000.0,23984.83599602445
2022-06-21,20710.59765625,48000.0,24114.148076596073
2022-06-22,19987.029296875,48000.0,23271.669513151868
2022-06-23,21085.876953125,48000.0,24551.10024403841
2022-06-24,21231.65625,48000.0,24720.836705037396
2022-06-25,21502.337890625,48000.0,25036.001784866825
2022-06-26,21027.294921875,48000.0,24482.89092436366
2022-06-27,20735.478515625,48000.0,24143.117821322907
2022-06-28,20280.634765625,48000.0,23613.52569070159
2022-06-29,20104.0234375,48000.0,23407.89030590499
2022-06-30,19784.7265625,48000.0,23036.120632622733
2022-07-01,19269.3671875,50000.0,24378.513905493954
2022-07-02,19242.255859375,50000.0,24344.214185982644
2022-07-03,19297.076171875,50000.0,24413.56974590221
2022-07-04,20231.26171875,50000.0,25595.448482406704
2022-07-05,20190.115234375,50000.0,25543.392276733855
2022-07-06,20548.24609375,50000.0,25996.47919185183
2022-07-07,21637.587890625,50000.0,27374.652843562624
2022-07-08,21731.1171875,50000.0,27492.980821967507
2022-07-09,21592.20703125,50000.0,27317.23954604477
2022-07-10,20860.44921875,50000.0,26391.46093412142
