planned_date,execution_date,monto_usd,comision_usd,precio_btc,btc_comprado,usd_acumulado,btc_acumulado,equity_usd,drawdown_pct
2025-11-01,2025-11-01,2000.0,2.0,109558.625,0.018236811570061233,210000.0,5.343831271611154,585462.8063497195,178.79181254748548
2025-11-15,2025-11-15,2000.0,2.0,94420.46875,0.021160665970534065,212000.0,5.364991937581688,506565.0535864337,138.9457799936008
2025-12-01,2025-12-01,2000.0,2.0,90389.109375,0.02210443286603077,214000.0,5.387096370447718,486934.84304206434,127.53964628133846
2025-12-15,2025-12-15,2000.0,2.0,88171.078125,0.022660491881106845,216000.0,5.409756862328825,476984.0949456497,120.8259698822452
2026-01-01,2026-01-01,2000.0,2.0,87508.046875,0.022832185968611814,218000.0,5.432589048297437,475395.2570910238,118.07121884909348
2026-01-15,2026-01-15,2000.0,2.0,96931.2890625,0.020612539246349197,220000.0,5.453201587543786,528585.8593982906,140.26629972649573
2026-02-01,2026-02-01,2000.0,2.0,78626.125,0.025411401108728172,222000.0,5.478612988652515,430762.1096724162,94.03698633892621
2026-02-15,2026-02-15,2000.0,2.0,69764.953125,0.02863902160759891,224000.0,5.507252010260114,384213.17834335886,71.52374033185663
2026-03-01,2026-03-01,2000.0,2.0,67005.8828125,0.02981827738306093,226000.0,5.537070287643175,371016.28281839425,64.16649682229834
2026-03-15,2026-03-15,2000.0,2.0,71213.6796875,0.02805640726286898,228000.0,5.565126694906044,396313.14987139456,73.82155696113797
2026-04-01,2026-04-01,2000.0,2.0,68232.890625,0.0292820659025099,230000.0,5.5944087608085535,381722.6810877918,65.9663830816486
2026-04-15,2026-04-15,2000.0,2.0,74182.0234375,0.026933749005692186,232000.0,5.621342509814245,417002.5618132554,79.7424835401963
2026-05-01,2026-05-01,2000.0,2.0,76305.0546875,0.02618437282015741,234000.0,5.647526882634403,430934.8476285445,84.16019129424978
2026-05-15,2026-05-15,2000.0,2.0,81046.8671875,0.02465240260771184,236000.0,5.672179285242115,459712.3611947064,94.79337338758747
2026-06-01,2026-06-01,2000.0,2.0,73580.2109375,0.027154040122243296,238000.0,5.699333325364359,419358.1482834328,76.20090264009782
2026-06-15,2026-06-15,2000.0,2.0,65711.109375,0.03040581750945367,240000.0,5.729739142873813,376507.51550759986,56.87813146149995
